api_name,cmdlet_name,ordinal,rva,return_type,signature,parameter_names,parameter_types,risk_level,mutates_case,reads_content,requires_in_process_bridge,docs_summary
XWF_GetColumnTitle,Get-XwfColumnTitle,1,0x1afaa0,BOOL,"BOOL XWF_GetColumnTitle( WORD nWndNo, WORD nColIndex, LPWSTR lpBuffer );",nWndNo;nColIndex;lpBuffer,WORD;WORD;LPWSTR,metadata-or-control,false,false,true,XWF_GetColumnTitle is a verified XWF 21.8 x64 export. Use Get-XwfColumnTitle to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetWindow,Get-XwfWindow,2,0x1af6d0,HWND,"HWND XWF_GetWindow( WORD nWndNo, WORD nWndIndex );",nWndNo;nWndIndex,WORD;WORD,metadata-or-control,false,false,true,XWF_GetWindow is a verified XWF 21.8 x64 export. Use Get-XwfWindow to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_ReleaseMem,Remove-XwfMemoryAllocation,3,0x1af6a0,BOOL,BOOL XWF_ReleaseMem( PVOID lpBuffer );,lpBuffer,PVOID,metadata-or-control,false,false,true,XWF_ReleaseMem is a verified XWF 21.8 x64 export. Use Remove-XwfMemoryAllocation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_HideProgress,Hide-XwfProgress,4,0x1af680,VOID,VOID XWF_HideProgress( );,,,mutating-or-stateful,true,false,true,XWF_HideProgress is a verified XWF 21.8 x64 export. Use Hide-XwfProgress to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_ShouldStop,Test-XwfStopRequested,5,0x1af650,BOOL,BOOL XWF_ShouldStop( );,,,metadata-or-control,false,false,true,XWF_ShouldStop is a verified XWF 21.8 x64 export. Use Test-XwfStopRequested to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetProgressDescription,Set-XwfProgressDescription,6,0x1af620,VOID,VOID XWF_SetProgressDescription( LPWSTR lpStr );,lpStr,LPWSTR,mutating-or-stateful,true,false,true,XWF_SetProgressDescription is a verified XWF 21.8 x64 export. Use Set-XwfProgressDescription to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetProgressPercentage,Set-XwfProgressPercentage,7,0x1af610,VOID,VOID XWF_SetProgressPercentage( DWORD nPercent );,nPercent,DWORD,mutating-or-stateful,true,false,true,XWF_SetProgressPercentage is a verified XWF 21.8 x64 export. Use Set-XwfProgressPercentage to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_ShowProgress,Show-XwfProgress,8,0x1af5e0,VOID,"VOID XWF_ShowProgress( LPWSTR lpCaption, DWORD nFlags );",lpCaption;nFlags,LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_ShowProgress is a verified XWF 21.8 x64 export. Use Show-XwfProgress to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetUserInput,Get-XwfUserInput,9,0x1af510,INT64,"INT64 XWF_GetUserInput( LPWSTR lpMessage, LPWSTR lpBuffer, DWORD nBufferLen, DWORD nFlags );",lpMessage;lpBuffer;nBufferLen;nFlags,LPWSTR;LPWSTR;DWORD;DWORD,metadata-or-control,false,false,true,XWF_GetUserInput is a verified XWF 21.8 x64 export. Use Get-XwfUserInput to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_OutputMessage,Write-XwfMessage,10,0x1af400,VOID,"VOID XWF_OutputMessage( LPWSTR lpMessage, DWORD nFlags );",lpMessage;nFlags,LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_OutputMessage is a verified XWF 21.8 x64 export. Use Write-XwfMessage to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
